Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","45","Comores","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-3.234989","Fc","Donnée calculée",""
"MK","Indicateurs macro","46","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","12397.371108","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","2304.126508","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-9.554105","Fc","Donnée calculée",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","61773.944627","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","12238.375054","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","1.042266","Fc","Donnée calculée",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","58539.606234","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","2276.340329","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-1.628817","Fc","Donnée calculée",""
"MK","Indicateurs macro","98","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","60415.173864","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","14627.294714","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-0.318443","Fc","Donnée calculée",""
"MK","Indicateurs macro","49","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","105354.94316","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","9295.901636","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","5.373942","Fc","Donnée calculée",""
"MK","Indicateurs macro","279","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3101.787709","X","Sources internationales sûres",""
"MK","Indicateurs macro","279","Curaçao","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","18980.00116","X","Sources internationales sûres",""
"MK","Indicateurs macro","279","Curaçao","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-1.24284","Fc","Donnée calculée",""
"MK","Indicateurs macro","54","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","350104.327659","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","60656.938517","X","Sources internationales sûres",""
"MK","Indicateurs macro","54","Danemark","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","-2.234129","Fc","Donnée calculée",""
"MK","Indicateurs macro","72","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","3166.329057","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3252.320409","X","Sources internationales sûres",""
"MK","Indicateurs macro","72","Djibouti","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2019","2019","%","6.682792","Fc","Donnée calculée",""
"MK","Indicateurs macro","55","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2019","2019","millions","582.4","X","Sources internationales sûres",""
"MK","Indicateurs macro","55","Dominique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","8110.516934","X","Sources internationales sûres",""
