Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","72.91","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3691","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","108.95","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1154","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","64.49","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3154","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","95.92","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","579","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","34.66","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","76.1","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","749","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","48.43","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","61.33","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","123","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.22","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2989","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.04","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","713","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","50.77","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3295","Fc","Donn?e calcul?e"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","91.65","Fc","Donn?e calcul?e"
