pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_proteines_animales(%),PIB_par_habitant,taux_suffisance(٪),taux_dépendance_importations(٪),groupe_cah
Bélarus,0.2,1202675.0,33452.25,54.32,6673.531291,172.32472324723247,3.6900369003690034,3
Équateur,14.96,935495.0,23392.850000000002,50.99,6183.823825,99.68051118210862,0.0,2
Égypte,19.18,1207055.0,34864.799999999996,24.79,3161.324684,96.78068410462777,2.414486921529175,3
El Salvador,4.58,999735.0,28386.05,35.28,4187.250031,89.63414634146342,11.585365853658537,2
Estonie,-0.79,1155955.0,37357.75,63.43,23740.163796,68.96551724137932,86.20689655172413,3
Fidji,4.08,1043535.0,28433.500000000004,46.52,6185.100338,89.74358974358975,12.82051282051282,3
Finlande,3.43,1211800.0,42876.55,62.15,48678.365212,118.80341880341881,14.529914529914532,4
Géorgie,-3.07,1043900.0,28875.15,42.3,4439.323978,32.35294117647059,79.41176470588235,3
Gabon,27.78,961045.0,28809.45,47.62,7773.19892,5.263157894736842,94.73684210526315,5
Gambie,25.87,906295.0,22929.3,29.37,776.444497,7.6923076923076925,96.15384615384616,1
Allemagne,3.13,1299035.0,38047.6,60.15,46231.563366,90.18691588785047,48.53971962616823,4
Bosnie-Herzégovine,-13.18,1211800.0,35846.649999999994,36.12,6108.558032,125.0,19.642857142857142,3
Ghana,20.54,1136610.0,22542.399999999998,23.66,2202.629207,30.136986301369863,69.86301369863014,1
Grèce,-4.64,1239540.0,39182.75,58.23,19604.489125,85.50185873605948,29.36802973977695,3
Guatemala,18.57,932940.0,25436.85,31.31,4363.138793,64.64088397790056,37.84530386740331,1
Guinée,21.98,1039885.0,20983.850000000002,20.61,967.360684,31.428571428571427,114.28571428571428,1
Guyana,4.48,1073100.0,31809.750000000004,43.59,6609.587274,121.875,3.125,3
Haïti,13.01,788035.0,17392.25,22.96,714.830247,8.91089108910891,90.0990099009901,1
Honduras,16.37,977470.0,22732.2,34.2,2574.908102,93.96551724137932,6.4655172413793105,2
Chine - RAS de Hong-Kong,6.88,1181140.0,47249.24999999999,74.66,49180.094302,4.318181818181818,175.6818181818182,5
Hongrie,-2.84,1237715.0,32660.2,56.17,16879.138985,171.06109324758842,24.437299035369776,3
Croatie,-5.11,1141720.0,34131.15,61.1,14627.294714,78.26086956521739,43.47826086956522,3
Inde,10.88,942065.0,23677.550000000003,23.8,2116.177386,100.14197823000472,0.0,2
Indonésie,11.83,1050835.0,24652.100000000002,36.33,4135.569274,162.63786764705884,0.0,3
Iran (République islamique d'),12.05,1096825.0,30338.800000000003,30.1,7282.005946,102.23015165031222,0.17841213202497772,2
Iraq,26.3,954475.0,23641.05,19.27,5729.677358,49.029126213592235,52.42718446601942,1
Irlande,7.95,1391015.0,40533.25,57.05,81636.578555,111.59420289855073,68.84057971014492,4
Israël,15.6,1298670.0,46026.5,60.56,46376.46651,100.81699346405229,0.0,4
Italie,2.39,1279325.0,38157.100000000006,53.19,33089.573308,115.96925704526046,8.02732707087959,4
Côte d'Ivoire,22.0,1036965.0,21633.550000000003,24.16,2276.340329,98.14814814814815,1.8518518518518516,2
Kazakhstan,13.52,1215815.0,37996.5,54.64,9792.625928,60.281690140845065,51.267605633802816,3
Jamaïque,5.17,1011050.0,28137.850000000002,49.66,5369.49399,82.20858895705521,19.631901840490798,3
Japon,-1.34,982215.0,32127.3,55.86,40063.485352,90.04702194357367,42.86833855799373,3
Jordanie,31.76,923085.0,23257.8,39.47,4405.480596,78.05907172995781,26.160337552742618,2
Kirghizistan,16.85,995720.0,30970.249999999996,41.13,1317.770772,19.047619047619047,80.95238095238095,1
Kenya,22.2,804825.0,22334.35,24.78,1816.523795,104.70588235294119,0.0,2
Cambodge,14.51,985500.0,23918.45,28.57,1643.641451,77.77777777777779,2.7777777777777777,2
République de Corée,3.67,1260345.0,36135.0,54.4,32143.085012,87.64976958525345,17.050691244239633,4
Koweït,32.95,1258885.0,36872.299999999996,48.91,31999.271891,27.450980392156865,75.49019607843137,5
Lettonie,-12.48,1187345.0,34499.799999999996,58.41,17885.427445,87.5,120.0,3
République démocratique populaire lao,14.24,1008130.0,27411.499999999996,24.39,2625.387111,90.0,10.0,2
Liban,29.8,1047550.0,26064.649999999998,35.42,7784.316857,105.88235294117648,13.445378151260504,2
Lesotho,6.36,799350.0,22454.800000000003,29.31,1157.536027,12.5,118.75,1
Libéria,23.96,784385.0,15370.15,25.31,522.999168,30.76923076923077,69.23076923076923,1
Libye,9.49,1146465.0,30353.399999999998,37.41,4810.082385,62.0,38.0,3
Lituanie,-14.77,1244650.0,42354.600000000006,58.5,19795.215752,117.64705882352942,57.647058823529406,3
Chine - RAS de Macao,17.81,1208880.0,39168.15,64.46,84096.705446,13.636363636363635,145.45454545454547,5
Madagascar,23.73,697880.0,15570.9,20.77,522.989511,100.0,0.0,2
Malawi,24.16,949000.0,25553.65,20.87,434.772494,100.0,0.0,2
Malaisie,13.19,1069815.0,28298.45,55.78,11414.293654,137.5801282051282,5.8493589743589745,3
