pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_prot_anim,PIB_par_habitant,taux_suffisance,dep_import,groupe_cah,groupe_km,F1,F2
Koweït,32.95,1258885.0,36872.299999999996,48.91,31999.271891,27.450980392156865,75.49019607843137,5,1,-0.7902086506714465,1.9409940149081641
Tchéquie,1.88,1199390.0,31671.05,60.03,23451.735721,65.63706563706563,44.78764478764479,3,1,-1.5689579971027718,0.4339577669314925
Arménie,2.35,1103030.0,34415.850000000006,56.06,4622.733216,21.818181818181817,78.18181818181819,3,1,-0.8330951819887121,1.4433576203655938
Monténégro,0.8,1284800.0,40876.35,60.25,8825.344514,40.0,70.0,3,1,-2.0892485594105685,1.0643554225012535
Géorgie,-3.07,1043900.0,28875.15,42.3,4439.323978,32.35294117647059,79.41176470588235,3,1,-0.11353526961632315,1.1041476480935102
Cuba,0.94,1231875.0,30145.350000000002,41.42,9295.901636,7.861635220125786,92.45283018867924,3,1,-0.5920263262534955,1.7513472169113138
Bulgarie,-6.76,1041710.0,30017.6,50.36,9703.487814,67.70186335403726,68.94409937888199,3,1,-0.7624535867268748,0.4813011173207303
Estonie,-0.79,1155955.0,37357.75,63.43,23740.163796,68.96551724137932,86.20689655172413,3,1,-2.0432367016820505,1.0958887988367514
Chypre,8.38,1111790.0,33718.7,50.23,28284.907631,77.14285714285715,42.857142857142854,3,1,-1.0879894621778277,0.3019037023799496
Albanie,-3.2,1218370.0,42347.299999999996,53.84,5303.197823,35.294117647058826,64.70588235294117,3,1,-1.8465404112795392,0.907107471356587
Australie,13.7,1247205.0,39398.1,67.55,54763.202388,102.81576830249396,0.7240547063555913,4,3,-2.760504125806903,-0.29116690507926807
Allemagne,3.13,1299035.0,38047.6,60.15,46231.563366,90.18691588785047,48.53971962616823,4,3,-2.76619135205828,0.379577793513972
Canada,9.8,1291735.0,39620.75,56.31,46550.335507,97.85296031229667,11.646063760572543,4,3,-2.5293297840062987,-0.2920053942502903
Israël,15.6,1298670.0,46026.5,60.56,46376.46651,100.81699346405229,0.0,4,3,-2.9006213736458757,-0.40623386065031497
Chine - RAS de Hong-Kong,6.88,1181140.0,47249.24999999999,74.66,49180.094302,4.318181818181818,175.6818181818182,5,3,-3.1497404766084838,4.065703873145917
Suisse,10.21,1233335.0,35463.4,63.1,85134.954826,66.44295302013423,30.201342281879196,4,3,-2.9232377049560085,0.9840047738993435
Suède,7.21,1162160.0,39456.5,64.15,52895.9567,66.10878661087865,35.146443514644346,4,3,-2.481401869229327,0.7132628670901141
Autriche,6.5,1347215.0,39766.75,59.19,49700.761833,74.57627118644068,63.84180790960452,4,3,-2.898255297906546,0.9383775841092411
Irlande,7.95,1391015.0,40533.25,57.05,81636.578555,111.59420289855073,68.84057971014492,4,3,-3.723975942781876,0.803779858014055
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,6.96,1239175.0,38759.35,55.43,41854.503068,81.42123287671232,34.16095890410959,4,3,-2.2516900274920686,0.2448362600553516
Danemark,4.25,1248665.0,42113.7,66.49,60656.938517,108.21917808219179,97.26027397260275,4,3,-3.412495455318548,1.1773253456671016
Chine - RAS de Macao,17.81,1208880.0,39168.15,64.46,84096.705446,13.636363636363635,145.45454545454547,5,3,-2.746484517542755,3.8347162385896727
Luxembourg,19.36,1278960.0,39766.75,61.08,115480.86757,0.0,100.0,5,3,-3.3667425793863797,3.5864284228851444
Belgique,5.89,1387000.0,36624.1,60.37,46198.310321,239.57219251336898,171.12299465240642,3,3,-3.474027289324486,0.22745498235693792
États-Unis d'Amérique,6.92,1409630.0,41978.65,66.02,65133.731652,118.4659238144597,0.6374708473697849,4,3,-3.827487768418329,-0.5577417579478108
Finlande,3.43,1211800.0,42876.55,62.15,48678.365212,118.80341880341881,14.529914529914532,4,3,-3.008381399639641,-0.5472749689315982
Norvège,10.26,1258885.0,42442.2,55.39,74985.515257,98.1651376146789,2.7522935779816518,4,3,-3.123386248067388,-0.13186683838433452
