pays,Évolution population (%),dispo_calories,dispo_proteines,ratio_prot_anim,PIB_par_habitant,taux_suffisance,dep_import,groupe_cah,groupe_km,F1,F2
Australie,13.7,1247205.0,39398.1,67.55,54763.202388,102.81576830249396,0.7240547063555913,4,0,-2.760504125806903,-0.29116690507926807
Allemagne,3.13,1299035.0,38047.6,60.15,46231.563366,90.18691588785047,48.53971962616823,4,0,-2.76619135205828,0.379577793513972
Portugal,-3.7,1262170.0,42975.1,63.91,23350.353854,104.4776119402985,26.865671641791046,3,0,-2.9049945544833036,-0.49250551700356804
Koweït,32.95,1258885.0,36872.299999999996,48.91,31999.271891,27.450980392156865,75.49019607843137,5,0,-0.7902086506714465,1.9409940149081641
Belgique,5.89,1387000.0,36624.1,60.37,46198.310321,239.57219251336898,171.12299465240642,3,0,-3.474027289324486,0.22745498235693792
Luxembourg,19.36,1278960.0,39766.75,61.08,115480.86757,0.0,100.0,5,0,-3.3667425793863797,3.5864284228851444
Danemark,4.25,1248665.0,42113.7,66.49,60656.938517,108.21917808219179,97.26027397260275,4,0,-3.412495455318548,1.1773253456671016
Suisse,10.21,1233335.0,35463.4,63.1,85134.954826,66.44295302013423,30.201342281879196,4,0,-2.9232377049560085,0.9840047738993435
Slovaquie,1.02,1063610.0,25940.55,53.58,19255.895672,73.95833333333334,108.33333333333333,3,3,-0.6378642431510544,1.284304470161613
Arménie,2.35,1103030.0,34415.850000000006,56.06,4622.733216,21.818181818181817,78.18181818181819,3,3,-0.8330951819887121,1.4433576203655938
Monténégro,0.8,1284800.0,40876.35,60.25,8825.344514,40.0,70.0,3,3,-2.0892485594105685,1.0643554225012535
Japon,-1.34,982215.0,32127.3,55.86,40063.485352,90.04702194357367,42.86833855799373,3,3,-1.3688335992024583,0.17840930168895053
Cuba,0.94,1231875.0,30145.350000000002,41.42,9295.901636,7.861635220125786,92.45283018867924,3,3,-0.5920263262534955,1.7513472169113138
Roumanie,-6.58,1309620.0,39328.75,50.65,12914.107396,108.79828326180257,27.896995708154503,3,3,-2.3242331454487863,-0.8329594842810143
Grèce,-4.64,1239540.0,39182.75,58.23,19604.489125,85.50185873605948,29.36802973977695,3,3,-2.3175481995894014,-0.2731744727720419
Bulgarie,-6.76,1041710.0,30017.6,50.36,9703.487814,67.70186335403726,68.94409937888199,3,3,-0.7624535867268748,0.4813011173207303
Chine - RAS de Hong-Kong,6.88,1181140.0,47249.24999999999,74.66,49180.094302,4.318181818181818,175.6818181818182,5,3,-3.1497404766084838,4.065703873145917
Croatie,-5.11,1141720.0,34131.15,61.1,14627.294714,78.26086956521739,43.47826086956522,3,3,-1.6947467599508563,0.055112565218218224
Kazakhstan,13.52,1215815.0,37996.5,54.64,9792.625928,60.281690140845065,51.267605633802816,3,3,-1.21035735985888,0.5934257147637271
Estonie,-0.79,1155955.0,37357.75,63.43,23740.163796,68.96551724137932,86.20689655172413,3,3,-2.0432367016820505,1.0958887988367514
Lettonie,-12.48,1187345.0,34499.799999999996,58.41,17885.427445,87.5,120.0,3,3,-2.156476108596829,1.1020205236968148
Géorgie,-3.07,1043900.0,28875.15,42.3,4439.323978,32.35294117647059,79.41176470588235,3,3,-0.11353526961632315,1.1041476480935102
Lituanie,-14.77,1244650.0,42354.600000000006,58.5,19795.215752,117.64705882352942,57.647058823529406,3,3,-3.0141434096297126,-0.41351543266981416
Mongolie,17.1,1051200.0,37865.1,71.1,4295.235029,0.0,140.0,5,3,-0.8236262913895548,3.1734016957652442
